Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,8210.0,270.0,11,3,17,3,75.9,3.45,10.0
0,8210.0,270.0,10,4,18,6,75.9,3.45,10.0
0,8340.0,240.0,10,4,17,3,75.9,6.9,7.0
0,11230.0,225.0,12,4,3,2,75.9,6.9,7.0
0,5700.0,180.0,12,4,2,2,75.9,6.9,7.0
0,5750.0,180.0,14,5,7,5,75.9,6.9,7.0
0,11180.0,225.0,14,6,17,3,75.9,6.9,7.0
0,8340.0,240.0,12,6,10,0,75.9,6.9,7.0
0,11230.0,225.0,12,7,22,4,75.9,6.9,7.0
0,8340.0,240.0,13,8,5,2,75.9,6.9,7.0
0,13790.0,285.0,17,9,2,2,75.9,6.9,7.0
0,9910.0,240.0,17,9,0,1,75.9,6.9,7.0
0,11230.0,225.0,15,9,31,2,75.9,6.9,7.0
0,4600.0,270.0,15,10,12,0,75.9,6.9,7.0
0,5750.0,180.0,13,7,12,1,75.9,6.9,7.0
0,11230.0,225.0,13,8,2,3,75.9,6.9,7.0
0,5700.0,180.0,14,8,9,6,75.9,6.9,7.0
0,9910.0,240.0,13,9,11,4,75.9,6.9,7.0
0,4600.0,270.0,10,8,3,3,75.9,6.9,7.0
0,9800.0,225.0,8,7,21,4,75.9,6.9,7.0
0,11180.0,225.0,5,4,23,4,75.9,6.9,7.0
0,13680.0,315.0,5,3,0,0,75.9,6.9,7.0
0,5700.0,180.0,5,3,5,0,75.9,6.9,7.0
0,5700.0,180.0,3,4,28,1,75.9,6.9,7.0
0,5750.0,180.0,3,0,2,2,75.9,6.9,7.0
0,8340.0,240.0,4,1,12,3,75.9,6.9,7.0
0,5750.0,180.0,7,2,7,5,75.9,6.9,7.0
0,2950.0,180.0,7,2,30,0,75.9,6.9,7.0
0,2950.0,180.0,8,2,3,1,75.9,6.9,7.0
0,5750.0,180.0,10,3,3,1,75.9,6.9,7.0
0,9800.0,225.0,10,4,15,3,75.9,6.9,7.0
0,9910.0,240.0,11,2,2,0,75.9,6.9,7.0
0,9800.0,225.0,9,2,18,4,75.9,6.9,7.0
0,2950.0,180.0,10,3,18,9,75.9,6.9,4.0
0,5700.0,180.0,10,3,5,2,75.9,6.9,4.0
0,2950.0,180.0,9,2,12,3,75.9,6.9,4.0
0,8340.0,240.0,11,1,12,3,75.9,6.9,4.0
0,2950.0,180.0,14,0,17,3,75.9,6.9,4.0
0,8340.0,240.0,13,1,14,4,75.9,6.9,4.0
0,9910.0,240.0,14,2,4,4,75.9,6.9,4.0
0,15360.0,285.0,13,3,0,0,75.9,6.9,4.0
0,5750.0,180.0,14,4,4,2,75.9,6.9,4.0
0,13680.0,315.0,14,5,0,0,75.9,6.9,4.0
0,9910.0,240.0,12,4,3,1,75.9,6.9,4.0
0,11230.0,225.0,10,4,4,4,75.9,6.9,4.0
0,9910.0,240.0,10,5,4,3,75.9,6.9,4.0
0,8210.0,270.0,8,6,4,3,75.9,6.9,4.0
0,4340.0,180.0,4,2,8,4,75.9,6.9,4.0
0,11230.0,225.0,4,2,15,2,75.9,6.9,4.0
0,5750.0,180.0,2,2,21,2,75.9,6.9,4.0
0,8210.0,270.0,3,3,0,0,75.9,6.9,4.0
0,4600.0,270.0,6,4,4,5,75.9,6.9,4.0
0,11230.0,225.0,6,5,20,3,75.9,6.9,4.0
0,8340.0,240.0,8,6,11,3,75.9,6.9,4.0
0,13680.0,315.0,10,5,1,0,75.9,6.9,4.0
0,9910.0,240.0,10,6,0,0,75.9,6.9,4.0
0,10070.0,315.0,10,5,2,0,75.9,6.9,4.0
0,5700.0,180.0,10,6,5,2,75.9,6.9,4.0
0,11230.0,225.0,9,6,8,3,75.9,6.9,4.0
0,9910.0,240.0,9,6,12,3,75.9,6.9,4.0
0,8400.0,225.0,11,6,1,5,75.9,6.9,4.0
0,9910.0,240.0,10,6,2,0,75.9,6.9,4.0
0,11230.0,225.0,10,5,4,4,75.9,6.9,4.0
0,11230.0,225.0,10,6,14,4,75.9,6.9,4.0
0,8340.0,240.0,13,5,10,2,77.0,9.2,7.0
0,11230.0,225.0,13,4,7,3,77.0,9.2,7.0
0,5750.0,180.0,12,3,2,1,77.0,9.2,7.0
0,8340.0,240.0,15,3,10,0,77.0,9.2,7.0
0,5750.0,180.0,14,2,3,1,77.0,9.2,7.0
0,2950.0,180.0,13,2,3,1,77.0,9.2,7.0
0,4340.0,180.0,9,2,5,2,77.0,9.2,7.0
0,11230.0,225.0,9,2,18,4,77.0,9.2,7.0
0,5700.0,180.0,9,2,6,5,77.0,9.2,7.0
0,13790.0,285.0,9,3,10,2,77.0,9.2,7.0
0,2950.0,180.0,8,4,12,4,77.0,9.2,7.0
0,8210.0,270.0,8,4,3,2,77.0,9.2,7.0
0,5700.0,180.0,8,5,12,0,77.0,9.2,7.0
0,5700.0,180.0,9,6,2,2,77.0,9.2,7.0
0,9910.0,240.0,9,6,0,0,77.0,9.2,7.0
0,11230.0,225.0,8,6,1,5,77.0,9.2,7.0
0,8340.0,240.0,7,4,7,2,77.0,9.2,7.0
0,9800.0,225.0,7,5,6,3,77.0,9.2,7.0
0,8210.0,270.0,8,5,0,1,77.0,9.2,7.0
0,8400.0,225.0,7,5,2,5,77.0,9.2,7.0
0,8340.0,240.0,6,6,2,0,77.0,9.2,7.0
0,11180.0,225.0,6,7,14,3,77.0,9.2,7.0
0,15360.0,285.0,7,5,6,3,77.0,9.2,7.0
0,13790.0,285.0,9,2,4,4,77.0,9.2,7.0
0,9800.0,225.0,11,2,18,3,77.0,9.2,7.0
0,10070.0,315.0,12,1,2,4,77.0,9.2,7.0
0,8210.0,270.0,14,1,3,4,77.0,9.2,7.0
0,9800.0,225.0,14,2,10,0,77.0,9.2,7.0
0,5700.0,180.0,15,3,9,8,78.1,6.9,7.0
0,9910.0,240.0,13,4,6,4,78.1,6.9,7.0
0,10070.0,315.0,13,5,9,5,78.1,6.9,7.0
0,13680.0,315.0,14,4,0,0,78.1,6.9,7.0
0,9910.0,240.0,15,3,10,2,78.1,6.9,7.0
0,8210.0,270.0,17,3,8,2,78.1,6.9,7.0
0,9910.0,240.0,17,4,5,4,78.1,6.9,7.0
0,11180.0,225.0,16,4,10,4,78.1,6.9,7.0
0,9910.0,240.0,20,2,3,4,78.1,6.9,7.0
0,8340.0,240.0,18,2,20,3,78.1,6.9,7.0
0,5700.0,180.0,17,1,2,2,78.1,6.9,7.0
0,8400.0,225.0,17,2,10,4,78.1,6.9,7.0
0,9910.0,240.0,12,2,2,3,78.1,6.9,7.0
0,9910.0,240.0,13,2,8,3,78.1,6.9,7.0
0,5700.0,180.0,13,2,19,2,78.1,6.9,7.0
0,9910.0,240.0,17,1,0,3,78.1,6.9,7.0
0,11230.0,225.0,17,1,6,4,78.1,6.9,7.0
0,4600.0,270.0,14,2,20,3,78.1,6.9,7.0
0,5700.0,180.0,11,1,0,5,78.1,6.9,7.0
0,8210.0,270.0,14,2,2,0,78.1,6.9,7.0
0,5750.0,180.0,14,1,6,2,78.1,6.9,7.0
0,9910.0,240.0,13,2,5,5,78.1,6.9,7.0
0,8340.0,240.0,13,2,5,4,78.1,6.9,7.0
0,8340.0,240.0,12,3,16,1,78.1,6.9,7.0
0,11180.0,225.0,12,4,0,4,78.1,6.9,7.0
0,5700.0,180.0,12,4,6,5,78.1,6.9,7.0
0,4600.0,270.0,13,4,2,5,78.1,6.9,7.0
0,9910.0,240.0,13,4,6,4,78.1,6.9,7.0
0,10070.0,315.0,13,5,9,2,78.1,6.9,7.0
0,8210.0,270.0,11,4,8,2,78.1,6.9,7.0
0,10070.0,315.0,11,4,2,2,78.1,6.9,7.0
0,5700.0,180.0,9,4,2,5,77.0,8.05,7.0
0,10070.0,315.0,11,5,8,5,77.0,8.05,7.0
