Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,7100.0,275.0,3,5,10,2,69.1,4.6,10.0
0,5540.0,275.0,3,4,2,4,69.1,4.6,10.0
0,8100.0,275.0,3,5,11,2,69.1,4.6,10.0
0,7100.0,275.0,4,6,6,1,69.1,4.6,10.0
0,5540.0,275.0,6,7,8,1,69.1,4.6,10.0
0,5540.0,275.0,7,5,5,0,69.1,4.6,10.0
0,5250.0,320.0,6,5,6,2,69.1,4.6,10.0
0,11230.0,395.0,5,5,3,1,69.1,4.6,10.0
0,5250.0,320.0,4,5,9,2,69.1,4.6,10.0
0,5540.0,275.0,4,6,4,5,69.1,4.6,10.0
0,5561.0,200.0,4,7,6,3,69.1,4.6,10.0
0,6240.0,275.0,4,8,10,5,69.1,4.6,10.0
0,5250.0,320.0,4,6,2,1,69.1,4.6,10.0
0,5540.0,275.0,4,5,7,1,69.1,4.6,10.0
0,5561.0,200.0,3,6,6,3,69.1,4.6,10.0
0,5540.0,275.0,3,6,5,0,69.1,4.6,10.0
0,8100.0,275.0,2,7,7,0,69.1,4.6,10.0
0,5561.0,200.0,3,7,5,1,69.1,4.6,10.0
0,8100.0,275.0,5,6,5,0,69.1,4.6,10.0
0,7100.0,275.0,6,6,5,2,69.1,4.6,10.0
0,5250.0,320.0,8,5,2,2,69.1,4.6,10.0
0,7100.0,275.0,8,4,5,3,69.1,4.6,10.0
0,5561.0,200.0,8,4,7,2,69.1,4.6,10.0
0,5250.0,320.0,8,5,3,1,69.1,4.6,10.0
0,5561.0,200.0,7,5,4,0,69.1,4.6,10.0
0,7100.0,275.0,5,4,4,5,71.1,10.35,10.0
0,8100.0,275.0,6,5,9,0,71.1,10.35,10.0
0,11230.0,395.0,5,6,4,0,71.1,10.35,10.0
0,5250.0,320.0,5,6,1,2,71.1,10.35,10.0
0,6240.0,275.0,6,7,9,3,71.1,10.35,10.0
0,5540.0,275.0,7,6,3,2,71.1,10.35,10.0
0,5250.0,320.0,7,6,4,3,71.1,10.35,10.0
0,6520.0,290.0,8,5,3,1,71.1,10.35,10.0
0,5540.0,275.0,7,5,3,2,71.1,10.35,10.0
0,11230.0,395.0,7,5,9,0,71.1,10.35,10.0
0,7100.0,275.0,7,4,5,0,71.1,10.35,10.0
0,5250.0,320.0,5,3,10,3,71.1,10.35,10.0
0,8100.0,275.0,6,4,4,2,71.1,10.35,10.0
0,5540.0,275.0,5,5,6,3,71.1,10.35,10.0
0,5561.0,200.0,5,5,5,0,71.1,10.35,10.0
0,7100.0,275.0,5,4,2,4,71.1,10.35,10.0
0,11230.0,395.0,3,4,10,0,70.0,10.35,10.0
0,6520.0,290.0,4,1,0,0,70.0,10.35,10.0
0,5540.0,275.0,4,2,2,4,70.0,10.35,10.0
0,8100.0,275.0,3,3,2,1,70.0,10.35,10.0
0,7100.0,275.0,2,4,8,2,70.0,10.35,10.0
0,7100.0,275.0,2,5,3,1,70.0,10.35,10.0
0,8100.0,275.0,2,6,2,1,70.0,10.35,10.0
0,5561.0,200.0,2,5,10,3,70.0,10.35,10.0
0,11230.0,395.0,2,5,6,1,70.0,10.35,10.0
0,5540.0,275.0,1,2,10,3,70.0,10.35,10.0
0,11230.0,395.0,0,3,9,0,70.0,10.35,10.0
0,11230.0,395.0,0,4,9,2,70.0,10.35,10.0
0,6520.0,290.0,0,4,4,3,70.0,10.35,10.0
0,5250.0,320.0,0,4,3,3,70.0,10.35,10.0
0,5561.0,200.0,1,4,8,1,68.0,10.35,10.0
0,8100.0,275.0,1,5,2,2,68.0,10.35,10.0
0,5561.0,200.0,2,6,13,0,68.0,10.35,10.0
0,8100.0,275.0,2,6,8,1,68.0,10.35,10.0
0,11230.0,395.0,0,7,10,2,68.0,10.35,10.0
0,5540.0,275.0,0,6,10,2,68.0,10.35,10.0
0,8100.0,275.0,0,7,3,3,68.0,10.35,10.0
0,5561.0,200.0,0,8,2,1,68.0,10.35,10.0
0,5540.0,275.0,0,9,10,1,68.0,10.35,10.0
0,5561.0,200.0,0,8,7,0,68.0,10.35,10.0
0,7100.0,275.0,0,8,9,0,68.0,10.35,10.0
0,11230.0,395.0,0,9,13,1,68.0,10.35,10.0
0,5540.0,275.0,0,10,5,5,68.0,10.35,10.0
0,6240.0,275.0,0,9,7,2,68.0,10.35,10.0
0,5250.0,320.0,0,8,5,4,68.0,10.35,10.0
0,11230.0,395.0,0,9,6,3,68.0,10.35,10.0
0,6240.0,275.0,0,8,6,4,68.0,10.35,10.0
0,5250.0,320.0,0,9,8,1,68.0,10.35,10.0
0,5540.0,275.0,0,10,6,1,68.0,10.35,10.0
0,8100.0,275.0,0,10,4,2,68.0,10.35,10.0
0,6520.0,290.0,0,11,10,3,66.9,6.9,10.0
0,7100.0,275.0,0,12,4,4,66.9,6.9,10.0
0,6520.0,290.0,0,11,7,3,66.9,6.9,10.0
0,5561.0,200.0,0,11,10,0,66.9,6.9,10.0
0,5561.0,200.0,0,11,7,0,66.9,6.9,10.0
0,7100.0,275.0,0,0,5,3,66.0,6.9,10.0
0,5561.0,200.0,0,1,6,1,66.0,6.9,10.0
0,6240.0,275.0,0,1,15,0,64.0,6.9,10.0
0,7100.0,275.0,2,0,7,1,64.0,8.05,9.0
0,5250.0,320.0,2,0,12,1,64.0,8.05,9.0
0,7100.0,275.0,3,1,9,2,64.0,8.05,9.0
0,5540.0,275.0,3,2,12,2,64.0,8.05,9.0
0,5561.0,200.0,3,3,4,1,64.0,8.05,9.0
0,6240.0,275.0,2,2,0,0,64.9,6.9,2.5
0,5561.0,200.0,2,3,9,1,64.9,6.9,2.5
0,8100.0,275.0,1,2,0,0,64.9,6.9,2.5
0,6520.0,290.0,1,2,10,4,64.9,6.9,2.5
0,6520.0,290.0,3,2,8,1,63.0,0.0,5.0
0,5561.0,200.0,2,3,0,3,63.0,0.0,5.0
0,8100.0,275.0,5,1,0,0,63.0,0.0,5.0
0,11230.0,395.0,5,2,3,2,63.0,0.0,5.0
0,8100.0,275.0,4,0,4,2,63.0,0.0,5.0
0,5561.0,200.0,3,1,0,0,63.0,0.0,5.0
0,6240.0,275.0,3,1,0,2,63.0,5.75,5.0
0,8100.0,275.0,2,0,1,1,63.0,5.75,5.0
0,8100.0,275.0,3,0,2,1,63.0,5.75,5.0
0,6240.0,275.0,0,0,9,1,63.0,4.6,6.0
0,6240.0,275.0,0,1,3,1,63.0,4.6,6.0
0,8100.0,275.0,1,0,3,2,63.0,3.45,10.0
0,5540.0,275.0,2,1,7,2,63.0,3.45,10.0
0,7100.0,275.0,3,0,3,1,63.0,3.45,10.0
0,7100.0,275.0,4,0,1,0,64.0,8.05,9.0
0,7100.0,275.0,4,1,12,1,64.0,8.05,9.0
0,5561.0,200.0,3,1,4,1,64.0,8.05,9.0
0,6240.0,275.0,1,1,10,2,64.0,8.05,9.0
0,8100.0,275.0,2,0,3,1,64.0,8.05,9.0
0,6520.0,290.0,6,0,3,2,64.0,8.05,9.0
0,5540.0,275.0,6,1,0,0,64.0,8.05,9.0
0,7100.0,275.0,10,2,3,4,64.0,8.05,9.0
0,6240.0,275.0,9,0,2,1,64.0,9.2,8.0
0,7100.0,275.0,8,1,5,5,64.0,9.2,8.0
0,8100.0,275.0,8,0,2,0,64.0,9.2,8.0
0,5250.0,320.0,5,1,2,1,64.0,9.2,8.0
0,8100.0,275.0,4,2,2,0,64.0,9.2,8.0
0,5561.0,200.0,4,3,0,1,64.0,9.2,8.0
0,11230.0,395.0,6,1,0,0,64.0,9.2,8.0
0,8100.0,275.0,6,2,0,0,64.0,9.2,8.0
0,5561.0,200.0,5,3,2,0,64.0,9.2,8.0
0,5250.0,320.0,5,3,2,0,64.0,9.2,8.0
0,6520.0,290.0,6,4,1,1,64.0,9.2,8.0
0,11230.0,395.0,6,4,2,0,64.0,9.2,8.0
0,5540.0,275.0,6,5,0,0,64.0,8.05,8.0
0,11230.0,395.0,7,5,3,0,64.0,8.05,8.0
0,11230.0,395.0,8,5,3,0,64.0,8.05,8.0
0,11230.0,395.0,9,3,3,0,64.0,8.05,8.0
0,7100.0,275.0,9,3,1,0,64.0,8.05,8.0
0,7100.0,270.0,10,3,10,1,64.0,8.05,8.0
0,5540.0,275.0,4,3,3,0,64.0,8.05,8.0
0,11230.0,395.0,4,4,1,0,64.0,8.05,8.0
0,5250.0,320.0,4,5,2,0,64.0,8.05,8.0
0,5540.0,275.0,4,5,2,1,64.0,8.05,8.0
0,5561.0,200.0,6,6,1,1,64.0,8.05,8.0
0,6240.0,275.0,3,3,9,1,64.0,8.05,8.0
0,11230.0,395.0,3,3,0,2,64.0,8.05,8.0
0,5561.0,200.0,3,4,2,0,64.0,8.05,8.0
0,5250.0,320.0,4,3,1,0,64.0,8.05,8.0
0,6520.0,290.0,6,2,6,0,64.0,8.05,8.0
0,6520.0,290.0,6,2,2,0,64.0,8.05,8.0
0,5250.0,320.0,7,3,1,1,64.9,10.35,10.0
0,11230.0,395.0,6,4,1,1,64.9,10.35,10.0
0,7100.0,275.0,8,3,10,3,64.9,10.35,10.0
0,8100.0,275.0,6,1,2,1,64.9,10.35,10.0
0,5540.0,275.0,7,2,1,0,64.9,10.35,10.0
0,5540.0,275.0,7,3,1,0,64.9,10.35,10.0
0,6520.0,290.0,4,1,0,3,64.9,10.35,10.0
0,6520.0,290.0,4,1,2,0,64.9,10.35,10.0
0,5561.0,200.0,4,2,4,1,64.9,10.35,10.0
0,5250.0,320.0,5,3,1,0,64.9,10.35,10.0
0,5250.0,320.0,5,3,3,0,64.9,10.35,10.0
0,11230.0,395.0,5,3,4,0,64.9,10.35,10.0
0,11230.0,395.0,4,4,1,1,64.9,10.35,10.0
0,5540.0,275.0,4,5,1,1,64.9,10.35,10.0
0,11230.0,395.0,1,3,1,0,64.9,10.35,10.0
0,6240.0,275.0,1,4,8,0,64.9,10.35,10.0
0,8100.0,275.0,4,4,1,0,64.9,10.35,10.0
0,5561.0,200.0,6,2,4,1,64.9,10.35,10.0
0,8100.0,275.0,7,2,6,0,64.9,10.35,10.0
0,5540.0,275.0,8,3,8,0,64.9,8.05,10.0
0,7100.0,275.0,7,3,2,1,64.9,8.05,10.0
0,6520.0,290.0,8,3,2,1,64.9,8.05,10.0
0,5250.0,320.0,6,4,3,0,64.9,8.05,10.0
0,5561.0,200.0,6,3,9,3,64.9,8.05,10.0
0,5540.0,275.0,6,4,6,0,64.9,8.05,10.0
